,season,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,full_name
296,2019-20,58.0,26.6,11.0,4.0,9.4,42.3,1.4,4.7,29.2,1.6,2.0,81.9,0.7,3.8,4.5,1.6,1.0,0.7,2.5,2.4,27.3,3.0,0.0,8.2,Brook Lopez
297,2019-20,56.0,14.2,5.5,2.3,4.5,50.4,0.5,1.6,33.0,0.4,0.8,53.5,0.9,1.5,2.4,0.7,0.9,0.2,0.7,1.3,11.1,0.0,0.0,1.2,Robin Lopez
298,2019-20,52.0,31.3,17.4,5.8,12.8,45.3,2.6,6.8,37.9,3.2,3.8,84.8,0.9,8.8,9.6,3.1,2.5,0.6,0.3,1.5,34.0,21.0,0.0,-5.6,Kevin Love
299,2019-20,49.0,36.5,19.4,5.8,14.2,41.2,2.8,8.1,34.9,4.9,5.6,86.2,0.6,4.2,4.8,7.6,3.0,1.3,0.4,3.2,38.8,13.0,2.0,4.5,Kyle Lowry
300,2019-20,35.0,16.2,5.9,1.9,4.7,40.5,1.0,2.6,37.8,1.1,1.4,81.6,0.7,1.8,2.5,0.5,0.7,0.4,0.1,1.9,10.5,0.0,0.0,-1.7,Timothe Luwawu-Cabarrot
301,2019-20,60.0,19.6,6.0,2.3,5.2,44.2,0.9,2.5,37.1,0.4,0.6,70.3,1.2,4.5,5.7,1.1,0.6,0.4,0.4,1.5,16.3,1.0,0.0,-0.5,Trey Lyles
302,2019-20,4.0,3.5,0.8,0.3,0.8,33.3,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.0,0.3,0.6,0.0,0.0,0.0,Daryl Macon
303,2019-20,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,J.P. Macura
304,2019-20,8.0,4.7,1.5,0.6,1.9,33.3,0.1,0.5,25.0,0.1,0.3,50.0,0.1,0.6,0.8,0.6,0.6,0.4,0.1,0.5,4.2,0.0,0.0,0.1,Josh Magette
305,2019-20,38.0,21.3,7.4,2.7,5.5,49.5,0.1,0.7,19.2,1.8,3.0,61.9,2.1,3.7,5.7,1.3,1.2,0.8,1.2,3.0,21.0,1.0,0.0,-2.1,Ian Mahinmi
306,2019-20,56.0,12.7,4.6,1.5,3.1,50.0,0.4,1.0,34.5,1.2,1.8,66.7,0.9,1.9,2.8,0.7,0.8,0.4,0.6,1.6,11.2,2.0,0.0,-2.1,Thon Maker
307,2019-20,35.0,7.7,1.6,0.6,1.5,40.7,0.1,0.3,25.0,0.3,0.3,75.0,0.1,0.8,0.9,1.1,0.4,0.2,0.1,1.0,5.1,0.0,0.0,0.2,Terance Mann
308,2019-20,33.0,8.7,5.6,2.4,4.3,55.3,0.1,0.4,23.1,0.8,1.1,73.0,1.3,2.6,3.9,0.4,0.7,0.2,0.2,1.3,11.3,4.0,0.0,1.8,Boban Marjanovic
309,2019-20,46.0,30.3,15.0,5.1,12.0,42.4,2.2,6.4,34.4,2.7,3.2,82.6,1.2,5.2,6.5,1.5,1.7,0.8,0.5,2.0,27.4,3.0,0.0,-1.7,Lauri Markkanen
310,2019-20,14.0,14.9,3.9,1.5,3.9,38.2,0.6,1.5,42.9,0.3,0.5,57.1,0.6,1.6,2.2,1.0,0.8,0.4,0.3,1.6,9.2,0.0,0.0,0.1,Caleb Martin
311,2019-20,44.0,17.6,4.9,1.8,4.3,43.3,0.4,1.6,24.3,0.8,1.3,64.9,0.8,2.5,3.2,1.6,0.9,0.8,0.2,1.5,13.1,0.0,0.0,-1.4,Cody Martin
312,2019-20,2.0,5.5,1.0,0.5,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,3.9,0.0,0.0,1.5,Jeremiah Martin
313,2019-20,29.0,16.6,6.5,2.4,6.1,39.0,0.8,3.2,25.8,0.9,0.9,100,0.4,2.8,3.2,0.7,0.7,0.2,0.3,1.8,12.4,0.0,0.0,-1.0,Kelan Martin
314,2019-20,4.0,4.4,1.3,0.3,1.8,14.3,0.3,1.0,25.0,0.5,1.0,50.0,0.3,0.3,0.5,1.3,0.3,0.3,0.0,0.5,4.2,0.0,0.0,4.3,Frank Mason
315,2019-20,16.0,12.6,5.8,1.4,3.1,46.0,1.1,2.6,42.9,1.8,2.0,90.6,0.4,1.1,1.4,0.6,0.4,0.2,0.1,1.6,8.8,0.0,0.0,2.9,Garrison Mathews
316,2019-20,58.0,24.6,7.5,2.6,6.4,40.1,1.6,4.4,37.0,0.8,1.0,75.9,0.3,2.2,2.5,1.5,0.7,0.6,0.2,1.4,14.3,0.0,0.0,7.3,Wesley Matthews
317,2019-20,34.0,24.3,4.9,1.9,4.5,42.5,0.6,1.9,34.4,0.4,0.5,72.2,0.6,1.7,2.2,2.1,0.8,1.0,0.1,1.6,13.4,1.0,0.0,-0.2,Patrick McCaw
318,2019-20,58.0,36.0,22.5,8.9,19.6,45.1,2.9,7.4,38.6,1.9,2.6,75.3,0.7,3.4,4.1,4.2,1.9,0.7,0.6,2.5,35.9,4.0,0.0,0.2,CJ McCollum
319,2019-20,59.0,18.8,6.4,2.9,5.7,51.2,0.1,0.2,30.8,0.5,0.6,83.3,0.5,2.1,2.6,5.0,1.3,0.7,0.2,1.1,18.3,2.0,0.0,0.8,T.J. McConnell
320,2019-20,12.0,17.1,5.2,1.9,4.3,45.1,0.6,1.6,36.8,0.8,1.0,75.0,1.0,3.3,4.3,0.8,0.5,0.6,0.3,2.2,13.5,0.0,0.0,-1.7,Jalen McDaniels
321,2019-20,61.0,20.0,10.3,3.9,7.9,48.7,1.9,4.3,43.9,0.7,0.8,82.4,0.4,2.2,2.5,1.1,0.7,0.1,0.1,1.7,14.9,0.0,0.0,2.0,Doug McDermott
322,2019-20,58.0,16.8,6.9,3.0,4.7,64.9,0.1,0.1,50.0,0.8,1.2,65.2,1.8,4.0,5.8,0.6,0.8,0.5,1.6,2.4,20.0,2.0,0.0,3.1,JaVale McGee
323,2019-20,47.0,15.4,3.2,1.3,3.2,39.1,0.4,1.6,27.6,0.3,0.6,50.0,0.5,2.1,2.6,0.6,0.4,0.5,0.2,1.4,8.8,0.0,0.0,0.2,Rodney McGruder
324,2019-20,37.0,14.3,4.3,1.7,4.1,41.4,0.3,1.6,20.3,0.5,0.8,69.0,0.8,1.9,2.8,0.4,0.6,0.6,0.2,1.7,9.7,1.0,0.0,-1.7,Alfonzo McKinnie
325,2019-20,26.0,19.2,7.5,2.8,5.8,48.0,1.0,2.6,39.7,0.9,1.3,69.7,0.2,1.5,1.7,4.0,0.9,1.2,0.2,0.9,18.6,2.0,0.0,-1.7,Jordan McLaughlin
326,2019-20,60.0,23.2,10.2,3.4,7.7,44.9,2.5,6.4,39.7,0.8,1.0,75.0,0.3,1.9,2.2,0.9,0.8,0.6,0.2,2.1,15.9,1.0,0.0,3.9,Ben McLemore
327,2019-20,33.0,20.8,11.5,4.1,9.8,41.8,1.3,3.3,38.2,2.0,2.6,77.0,0.5,2.8,3.3,2.6,1.2,0.6,0.5,1.9,21.6,0.0,0.0,-1.2,Jordan McRae
328,2019-20,49.0,16.6,6.8,2.4,5.2,46.2,1.2,3.3,37.7,0.8,1.0,75.5,0.7,2.3,3.0,1.1,0.8,0.6,0.4,1.9,14.1,0.0,0.0,-1.4,Nicolo Melli
329,2019-20,48.0,19.1,8.1,2.9,6.7,42.7,0.6,2.0,30.6,1.8,2.2,82.1,0.7,3.0,3.7,3.0,1.5,1.3,0.3,1.8,20.3,0.0,0.0,2.6,De'Anthony Melton
330,2019-20,16.0,4.5,2.9,1.3,2.2,57.1,0.0,0.1,0.0,0.4,0.5,75.0,0.6,1.0,1.6,0.4,0.3,0.1,0.3,0.3,6.0,0.0,0.0,0.8,Chimezie Metu
331,2019-20,52.0,29.9,20.9,7.6,15.2,50.3,2.4,5.6,43.0,3.2,3.6,90.8,0.8,5.5,6.3,4.1,2.0,1.0,0.1,2.2,35.9,5.0,0.0,9.2,Khris Middleton
332,2019-20,1.0,19.0,6.0,2.0,3.0,66.7,0.0,0.0,0.0,2.0,2.0,100,2.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,14.4,0.0,0.0,8.0,Eric Mika
333,2019-20,10.0,16.1,6.4,1.9,5.9,32.2,1.1,3.5,31.4,1.5,2.0,75.0,0.4,0.8,1.2,1.2,0.4,1.0,0.4,1.4,13.4,0.0,0.0,-0.8,CJ Miles
334,2019-20,25.0,5.0,0.9,0.3,1.0,33.3,0.2,0.8,31.6,0.0,0.2,16.7,0.0,0.5,0.6,0.3,0.1,0.2,0.1,0.5,2.7,0.0,0.0,2.1,Malcolm Miller
335,2019-20,60.0,22.9,11.8,4.0,9.4,42.4,2.4,6.4,38.1,1.5,1.7,85.4,0.3,1.3,1.6,1.8,0.8,0.9,0.1,1.5,18.4,0.0,0.0,1.9,Patty Mills
336,2019-20,40.0,24.3,12.0,4.2,8.6,48.4,1.1,2.4,43.8,2.6,3.1,83.6,2.1,3.9,5.9,1.6,1.3,0.9,0.7,2.9,24.7,4.0,0.0,5.9,Paul Millsap
